,date,region,confirmed,1_day_change,3_day_change,7_day_change,1_day_change_rate,3_day_change_rate,7_day_change_rate,last_day,kalman_prediction,infected_rate
76,2020-05-06,KE,52,6,10,0,14.634146341463406,27.027027027027017,0.0,47,49.0,0.32982456140350874
77,2020-05-07,KE,57,5,14,0,10.63829787234043,36.8421052631579,0.0,52,55.0,0.36491228070175435
78,2020-05-08,KE,63,5,16,0,9.615384615384626,39.02439024390243,0.0,57,61.0,0.4
79,2020-05-09,KE,69,6,16,0,10.526315789473696,34.04255319148937,0.0,63,67.0,0.4421052631578947
80,2020-05-10,KE,76,6,17,32,9.523809523809534,32.692307692307686,86.48648648648648,69,73.0,0.4842105263157895
81,2020-05-11,KE,89,7,19,38,10.144927536231885,33.33333333333333,100.0,76,80.0,0.5333333333333333
82,2020-05-12,KE,101,13,26,48,17.105263157894733,41.26984126984128,117.07317073170734,89,91.0,0.6245614035087719
83,2020-05-13,KE,108,12,32,54,13.483146067415742,46.376811594202906,114.89361702127661,101,104.0,0.7087719298245614
84,2020-05-14,KE,112,7,32,56,6.930693069306937,42.10526315789473,107.69230769230771,108,115.0,0.7578947368421053
85,2020-05-15,KE,120,4,23,55,3.703703703703698,25.842696629213478,96.49122807017542,112,122.0,0.7859649122807018
86,2020-05-16,KE,134,8,19,57,7.14285714285714,18.811881188118807,90.47619047619047,120,129.0,0.8421052631578948
87,2020-05-17,KE,149,14,26,65,11.66666666666667,24.07407407407407,94.20289855072464,134,140.0,0.9403508771929825
88,2020-05-18,KE,157,15,37,73,11.194029850746269,33.03571428571428,96.05263157894737,149,155.0,1.0456140350877192
89,2020-05-19,KE,163,8,37,68,5.369127516778516,30.833333333333336,76.40449438202248,157,166.0,1.1017543859649124
90,2020-05-20,KE,165,6,29,62,3.821656050955413,21.641791044776127,61.3861386138614,163,175.0,1.143859649122807
91,2020-05-21,KE,180,2,16,57,1.2269938650306678,10.738255033557053,52.77777777777777,165,179.0,1.1578947368421053
92,2020-05-22,KE,192,15,23,68,9.090909090909083,14.649681528662416,60.71428571428572,180,188.0,1.263157894736842
93,2020-05-23,KE,203,12,29,72,6.666666666666665,17.791411042944794,60.00000000000001,192,199.0,1.3473684210526315
94,2020-05-24,KE,229,11,38,69,5.729166666666674,23.030303030303024,51.49253731343284,203,211.0,1.424561403508772
95,2020-05-25,KE,233,26,49,80,12.807881773399021,27.222222222222214,53.69127516778522,229,232.0,1.607017543859649
96,2020-05-26,KE,239,4,41,76,1.7467248908296984,21.354166666666675,48.4076433121019,233,245.0,1.6350877192982456
97,2020-05-27,KE,251,6,36,76,2.5751072961373467,17.733990147783253,46.62576687116564,239,254.0,1.6771929824561405
98,2020-05-28,KE,263,12,22,86,5.020920502092041,9.606986899563319,52.121212121212125,251,264.0,1.7614035087719297
99,2020-05-29,KE,279,12,30,83,4.7808764940239,12.875536480686689,46.1111111111111,263,275.0,1.8456140350877195
100,2020-05-30,KE,303,16,40,87,6.083650190114076,16.736401673640167,45.3125,279,289.0,1.9578947368421051
101,2020-06-01,KE,343,24,52,100,8.602150537634401,20.71713147410359,49.26108374384237,303,309.0,2.126315789473684
102,2020-06-02,KE,365,40,80,114,13.201320132013205,30.418250950570336,49.78165938864629,343,344.0,2.407017543859649
103,2020-06-03,KE,388,22,86,132,6.413994169096204,30.824372759856633,56.65236051502145,365,376.0,2.56140350877193
104,2020-06-04,KE,407,23,85,149,6.301369863013706,28.052805280528048,62.34309623430963,388,405.0,2.7228070175438597
105,2020-06-05,KE,430,19,64,156,4.89690721649485,18.65889212827989,62.151394422310744,407,430.0,2.856140350877193
106,2020-06-06,KE,455,23,65,167,5.651105651105648,17.808219178082197,63.49809885931559,430,454.0,3.0175438596491224
107,2020-06-07,KE,0,25,67,176,5.813953488372103,17.268041237113408,63.08243727598566,455,479.0,3.192982456140351
108,2020-05-02,KW,24,0,0,0,0.0,0.0,0.0,0,0.0,0.0
109,2020-05-03,KW,32,0,0,0,0.0,0.0,0.0,0,28.0,0.0
110,2020-05-04,KW,35,8,0,0,33.33333333333333,0.0,0.0,32,40.0,0.22456140350877193
111,2020-05-05,KW,36,3,0,0,9.375,0.0,0.0,35,41.0,0.24561403508771928
112,2020-05-06,KW,40,1,12,0,2.857142857142847,50.0,0.0,36,42.0,0.25263157894736843
113,2020-05-07,KW,47,4,8,0,11.111111111111116,25.0,0.0,40,44.0,0.2807017543859649
114,2020-05-08,KW,57,7,12,0,17.500000000000004,34.28571428571428,0.0,47,50.0,0.32982456140350874
115,2020-05-09,KW,61,10,21,0,21.27659574468086,58.33333333333333,0.0,57,59.0,0.4
116,2020-05-10,KW,63,4,21,37,7.017543859649122,52.49999999999999,154.16666666666666,61,65.0,0.4280701754385965
117,2020-05-11,KW,68,2,16,31,3.2786885245901676,34.04255319148937,96.875,63,69.0,0.4421052631578947
118,2020-05-12,KW,73,5,11,33,7.9365079365079305,19.298245614035082,94.28571428571428,68,74.0,0.47719298245614034
119,2020-05-13,KW,75,5,12,37,7.352941176470584,19.672131147540984,102.77777777777777,73,78.0,0.512280701754386
120,2020-05-14,KW,76,2,12,35,2.7397260273972712,19.047619047619047,87.5,75,81.0,0.5263157894736843
121,2020-05-15,KW,87,1,8,29,1.333333333333342,11.764705882352944,61.70212765957446,76,82.0,0.5333333333333333
122,2020-05-16,KW,94,11,14,30,14.473684210526304,19.17808219178083,52.63157894736843,87,89.0,0.6105263157894737
123,2020-05-17,KW,105,7,19,33,8.045977011494255,25.333333333333343,54.0983606557377,94,96.0,0.6596491228070175
124,2020-05-18,KW,111,11,29,42,11.702127659574458,38.1578947368421,66.66666666666667,105,107.0,0.7368421052631579
125,2020-05-19,KW,118,6,24,43,5.714285714285716,27.586206896551737,63.23529411764706,111,116.0,0.7789473684210526
126,2020-05-20,KW,121,7,24,45,6.3063063063063085,25.531914893617014,61.64383561643836,118,124.0,0.8280701754385964
127,2020-05-21,KW,134,3,16,46,2.5423728813559254,15.238095238095228,61.33333333333333,121,130.0,0.849122807017544
128,2020-05-22,KW,141,13,23,58,10.743801652892571,20.72072072072073,76.3157894736842,134,139.0,0.9403508771929825
129,2020-05-23,KW,143,7,23,54,5.223880597014929,19.491525423728806,62.06896551724137,141,148.0,0.9894736842105263
130,2020-05-24,KW,147,2,22,49,1.4184397163120588,18.181818181818187,52.127659574468076,143,153.0,1.0035087719298246
131,2020-05-25,KW,150,4,13,42,2.7972027972027913,9.701492537313428,39.99999999999999,147,156.0,1.031578947368421
132,2020-05-26,KW,154,3,9,39,2.0408163265306145,6.382978723404253,35.13513513513513,150,159.0,1.0526315789473686
133,2020-05-27,KW,155,4,11,36,2.6666666666666616,7.692307692307687,30.508474576271194,154,161.0,1.080701754385965
134,2020-05-28,KW,156,1,8,34,0.6493506493506551,5.442176870748305,28.099173553719005,155,162.0,1.087719298245614
135,2020-05-29,KW,163,1,6,22,0.6451612903225712,4.0000000000000036,16.417910447761198,156,162.0,1.0947368421052632
136,2020-05-30,KW,168,7,9,22,4.487179487179493,5.844155844155852,15.602836879432624,163,165.0,1.143859649122807
137,2020-06-01,KW,195,5,13,25,3.0674846625766916,8.387096774193559,17.48251748251748,168,170.0,1.1789473684210527
138,2020-06-02,KW,215,27,39,48,16.07142857142858,25.0,32.65306122448979,195,189.0,1.368421052631579
139,2020-06-03,KW,227,20,52,65,10.256410256410264,31.90184049079754,43.333333333333336,215,212.0,1.5087719298245612
140,2020-06-04,KW,232,12,59,73,5.581395348837215,35.11904761904763,47.4025974025974,227,232.0,1.592982456140351
141,2020-06-05,KW,247,5,37,77,2.2026431718061623,18.974358974358974,49.67741935483871,232,245.0,1.6280701754385964
142,2020-06-06,KW,262,15,32,91,6.465517241379315,14.883720930232558,58.33333333333333,247,259.0,1.7333333333333334
143,2020-06-07,KW,0,15,35,99,6.072874493927127,15.41850220264318,60.73619631901841,262,274.0,1.8385964912280701
144,2020-05-02,OTH,16,0,0,0,0.0,0.0,0.0,0,0.0,0.0
145,2020-05-03,OTH,16,0,0,0,0.0,0.0,0.0,0,19.0,0.0
146,2020-05-04,OTH,21,0,0,0,0.0,0.0,0.0,16,17.0,0.11228070175438597
147,2020-05-05,OTH,22,5,0,0,31.25,0.0,0.0,21,23.0,0.1473684210526316
148,2020-05-06,OTH,22,1,6,0,4.761904761904767,37.5,0.0,22,25.0,0.1543859649122807
149,2020-05-07,OTH,23,0,6,0,0.0,37.5,0.0,22,25.0,0.1543859649122807
150,2020-05-08,OTH,24,1,2,0,4.545454545454541,9.523809523809534,0.0,23,25.0,0.16140350877192983
151,2020-05-09,OTH,25,1,2,0,4.347826086956519,9.090909090909083,0.0,24,26.0,0.16842105263157894
152,2020-05-10,OTH,25,1,3,9,4.166666666666674,13.636363636363647,56.25,25,27.0,0.17543859649122806
153,2020-05-11,OTH,26,0,2,9,0.0,8.695652173913038,56.25,25,27.0,0.17543859649122806
154,2020-05-12,OTH,27,1,2,5,4.0000000000000036,8.333333333333325,23.809523809523814,26,27.0,0.18245614035087718
155,2020-05-13,OTH,29,1,2,5,3.8461538461538547,8.000000000000007,22.72727272727273,27,28.0,0.18947368421052632
156,2020-05-14,OTH,29,2,4,7,7.407407407407418,15.999999999999993,31.818181818181813,29,29.0,0.20350877192982456
157,2020-05-15,OTH,31,0,3,6,0.0,11.538461538461542,26.086956521739136,29,30.0,0.20350877192982456
158,2020-05-16,OTH,34,2,4,7,6.896551724137923,14.814814814814813,29.166666666666675,31,32.0,0.21754385964912282
159,2020-05-17,OTH,36,3,5,9,9.677419354838701,17.24137931034482,36.00000000000001,34,34.0,0.23859649122807017
160,2020-05-18,OTH,37,2,7,11,5.882352941176472,24.13793103448276,43.99999999999999,36,37.0,0.25263157894736843
161,2020-05-19,OTH,42,1,6,11,2.777777777777768,19.354838709677423,42.307692307692314,37,39.0,0.2596491228070175
162,2020-05-20,OTH,45,5,8,15,13.513513513513509,23.529411764705888,55.55555555555556,42,42.0,0.2947368421052632
163,2020-05-21,OTH,48,3,9,16,7.14285714285714,25.0,55.172413793103445,45,46.0,0.3157894736842105
164,2020-05-22,OTH,53,3,11,19,6.666666666666665,29.729729729729737,65.51724137931035,48,50.0,0.3368421052631579
165,2020-05-23,OTH,55,5,11,22,10.416666666666675,26.190476190476186,70.96774193548387,53,55.0,0.37192982456140355
166,2020-05-24,OTH,55,2,10,21,3.7735849056603765,22.222222222222232,61.76470588235294,55,58.0,0.3859649122807018
167,2020-05-25,OTH,72,0,7,19,0.0,14.583333333333325,52.77777777777777,55,60.0,0.3859649122807018
168,2020-05-26,OTH,73,17,19,35,30.909090909090907,35.849056603773576,94.59459459459461,72,70.0,0.5052631578947369
169,2020-05-27,OTH,75,1,18,31,1.388888888888884,32.72727272727274,73.80952380952381,73,77.0,0.512280701754386
170,2020-05-28,OTH,77,2,20,30,2.7397260273972712,36.36363636363635,66.66666666666667,75,81.0,0.5263157894736843
171,2020-05-29,OTH,78,2,5,29,2.6666666666666616,6.944444444444442,60.41666666666667,77,83.0,0.5403508771929825
172,2020-05-30,OTH,78,1,5,25,1.298701298701288,6.849315068493156,47.169811320754704,78,84.0,0.5473684210526316
173,2020-06-01,OTH,92,0,3,23,0.0,4.0000000000000036,41.81818181818182,78,84.0,0.5473684210526316
174,2020-06-02,OTH,98,14,15,37,17.948717948717952,19.480519480519476,67.27272727272727,92,92.0,0.6456140350877193
175,2020-06-03,OTH,111,6,20,26,6.521739130434789,25.64102564102564,36.111111111111114,98,99.0,0.6877192982456141
176,2020-06-04,OTH,117,13,33,38,13.265306122448983,42.307692307692314,52.05479452054795,111,111.0,0.7789473684210526
177,2020-06-05,OTH,121,6,25,42,5.405405405405395,27.173913043478272,56.00000000000001,117,121.0,0.8210526315789474
178,2020-06-06,OTH,126,4,23,44,3.418803418803429,23.469387755102034,57.14285714285714,121,128.0,0.849122807017544
179,2020-06-07,OTH,0,5,15,48,4.132231404958686,13.513513513513509,61.53846153846154,126,134.0,0.8842105263157894
